Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,307,0,97,176.86556489251583,55.50641700028791,2622.3880419993293,544.485342019544,6.946116569757477,0.0,97,110,110,120,130,890,1400,1600,2600,2600,2600
,Aggregated,307,0,97,176.86556489251583,55.50641700028791,2622.3880419993293,544.485342019544,6.946116569757477,0.0,97,110,110,120,130,890,1400,1600,2600,2600,2600
