Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,1585,0,98,140.84453207318734,49.72141600046598,2968.5222090001844,595.382334384858,35.93775731378354,0.0,98,110,110,120,130,210,1000,1500,2900,3000,3000
,Aggregated,1585,0,98,140.84453207318734,49.72141600046598,2968.5222090001844,595.382334384858,35.93775731378354,0.0,98,110,110,120,130,210,1000,1500,2900,3000,3000
