Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,795,0,95,130.7247842201339,51.420832999610866,3226.9729999998162,603.4691823899371,18.012678667424275,0.0,95,100,110,110,120,130,920,1500,3200,3200,3200
,Aggregated,795,0,95,130.7247842201339,51.420832999610866,3226.9729999998162,603.4691823899371,18.012678667424275,0.0,95,100,110,110,120,130,920,1500,3200,3200,3200
